typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","772","TKL","Tokelau","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"30926.236","30926.236","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","584","MHL","Marshall Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"560070.83","560070.83","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","899","_X ","Areas, nes","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"191690710.125","191690710.125","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","876","WLF","Wallis and Futuna Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"303709.622","303709.622","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","796","TCA","Turks and Caicos Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"577000","577000","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","581","UMI","United States Minor Outlying Islands","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7514414.718","7514414.718","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","732","ESH","Western Sahara","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"43347.081","43347.081","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","882","WSM","Samoa","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1384042.361","1384042.361","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","678","STP","Sao Tome and Principe","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1705729.143","1705729.143","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","296","KIR","Kiribati","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"474962.026","474962.026","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","16","ASM","American Samoa","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"45677.216","45677.216","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","238","FLK","Falkland Isds (Malvinas)","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"59098.525","59098.525","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","654","SHN","Saint Helena","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"16044.224","16044.224","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","4","AFG","Afghanistan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"81421781.382","81421781.382","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","336","VAT","Holy See (Vatican City State)","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2808.256","2808.256","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","580","MNP","N. Mariana Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"141055.223","141055.223","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","798","TUV","Tuvalu","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"521193.423","521193.423","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","548","VUT","Vanuatu","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"314592.057","314592.057","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","839","XX ","Special Categories","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2532770.974","2532770.974","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","520","NRU","Nauru","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"172546.88","172546.88","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","670","VCT","Saint Vincent and the Grenadines","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1036733.972","1036733.972","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","64","BTN","Bhutan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"28247.531","28247.531","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","568","E19","Other Europe, nes","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"96734.979","96734.979","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","659","KNA","Saint Kitts and Nevis","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"319936.363","319936.363","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","260","ATF","Fr. South Antarctic Terr.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"191450.702","191450.702","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","86","IOT","Br. Indian Ocean Terr.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"5887.921","5887.921","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","316","GUM","Guam","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"705756.732","705756.732","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","624","GNB","Guinea-Bissau","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"6214012.269","6214012.269","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","148","TCD","Chad","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"30516147.151","30516147.151","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","10","ATA","Antarctica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"62488.458","62488.458","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","184","COK","Cook Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"100795.396","100795.396","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","92","VGB","Br. Virgin Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"211239.088","211239.088","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","535","BES","Bonaire","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1486875.527","1486875.527","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","90","SLB","Solomon Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1965842.408","1965842.408","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","418","LAO","Lao People's Dem. Rep.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"20792565.488","20792565.488","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","583","FSM","FS Micronesia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1298724.263","1298724.263","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11657450.357","11657450.357","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","776","TON","Tonga","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"586983.565","586983.565","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","212","DMA","Dominica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1219128.61","1219128.61","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"34671.707","34671.707","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","500","MSR","Montserrat","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"992224.67","992224.67","0","false","true",
